paper,year,app distribution platform,app type,# apps,app choosing preference,# reviews,total # reviews,# samplel reviews
Order in Chaos: Prioritizing Mobile App Reviews using Consensus Algorithms,2020,Google Play,14 apps  (using dataset of paper: SimApp: A frameworkfor detecting similar mobile applications by online kernel learning),14,domain diversity,725 user reviews,725,
Same Same but Different: Finding Similar User Feedback Across Multiple Platforms and Languages,2020,"four different platforms  (Apple App Store, Google Play App Store, Twitter and Facebook) and written in English, French, German, and Spanish.","five popular software applications: Spotify, Slack, Dropbox, Telegram and Waze.  (We opt to collect data
from these five applications due to their popularity and domain diversity, and because they received feedback on all four platforms considered in our study.)",5,"popularity

domain diversity, 

and they received feedback on all four platforms 研究目的：跨平台","464,330 user feedback entities;
a manually annotated set of 4,100 user feedback pairs  (stratified sampling with balancing criteria)","464,330","8200, stratified sampling"
SmartPI: Understanding Permission Implications of Android Apps from User Reviews,2020,Google Play,"total 20,941 apps;

evaluation:  1,100 apps","1,100",,"total 4,247,769 reviews;

evaluation: 20,334 reviews","4,247,769",20334
Studying Bad Updates of Top Free-to-Download Apps in the Google Play Store,2020,Google Play,"2,526 top free apps  (top 100 apps in each category),  

top 250 bad updates from 26,726 updates","2,526","popularity

free

domain diversity","26,192,781 reviews","26,192,781","754, simple random sampling"
Which App is Going to Die? A Framework for App Survival Prediction With Multitask Learning,2020,Apple App Store,"The raw dataset covers 35,000 mobile apps of the aforementioned factors in 2016, and all these apps were released in December 2015. After deleting incomplete data, the final dataset contains 25,000 valid mobile app samples, of which 35.8 percent were removed from the Apple Store before January 2018.","25,000",,,,
Ah-cid: A tool to automatically detect human-centric issues in app reviews,2021,Google Play,24 apps,24,,"171,048 user reviews in total;

keyword matching + manually label: A total of 1,315 sample was then detected as app reviews discussing these human-centric issues.","171,048","1,315"
An Exploratory Analysis of Human-centric Issues in Parking Solutions Using Surveys and Mobile Parking App Reviews,2021,Google Play,five parking apps that are mainly used in Australia,5,"popularity

parking apps","4,583 comments in total;

we collected and manually categorized 1,192 user reviews of five parking apps.  (stratified random sampling to collect the ideal number of sample reviews for each app)","4,583","1192, stratified sampling"
Automatically Matching Bug Reports With Related App Reviews,2021,Google Play,"four open-source apps

Firefox  (browser), VLC  (media player), Signal  (messenger), and NextCloud  (cloud storage)",4,open-source apps (According to Research Purpose),"total 21,506 app reviews

9,132 reviews related to problem reports","21,506",9132
Automating App Review Response Generation Based on Contextual Knowledge,2021,Google Play,58 apps from the list of top 100 free apps  (App Annie 2016),58,"popularity

free","309,246 review-response pairs","309,246",
CHAMP: Characterizing Undesired App Behaviors from User Comments Based on Market Policies,2021,Google Play and 8 top Chinese third-party app markets  (Android),"randomly selected 10,000 target app candidates  (8,400 Chinese apps and 1,600 Google Play apps) from the dataset of Wang et al. [1]

total 5,156 apps are used because the remaining 4K apps have no/very few reviews.","5,156",,"3.2 million user comments

randomly select 2% of the comments for each app in our dataset.  (i.e., 70,000 comments)

randomly select three apps  (75 apps in total) and manually verify if indeed the apps violated the policies as described.","3,200,000","70000, simple random sampling"
Classifying User Requirements from Online Feedback in Small Dataset Environments using Deep Learning,2021,"Apple App Store,
Google Play","using the sample of user reviews and the gold standard of Van Vliet et al. [1] described in Section IV-C.

Vliet et al. created a custom sample by randomly selecting 1,000 online user reviews from two app stores pertaining to eight apps.",8,,"Vliet et al. created a custom sample by randomly selecting 1,000 online user reviews from two app stores pertaining to eight apps. The sampling was bootstrapped to have an equally distributed variation of good and bad reviews.

tasks P1  (1,000 reviews) and P2  (1,242 sentences).","1,000",
Exploiting Natural Language Structures in Software Informal Documentation,2021,"Apple App Store,
Google Play",most popular 7 apps,7,popularity,"1,390 labeled mobile app review sentences extracted from popular apps.","1,390",
Exploiting the Unique Expression for Improved Sentiment Analysis in Software Engineering Text,2021,Google Play,,14,domain diversity,"1500 Stack Overflow discussions, 341 app reviews, and 926 JIRA comments,  4423 Stack Overflow posts",341,
Featcompare: Feature comparison for competing mobile apps leveraging user reviews,2021,Google Play,196 popular Android apps,196,,"14,043,999 reviews in total,

480 manually annotated reviews","14,043,999",480
Finding the Needle in a Haystack: On the Automatic Identification of Accessibility User Reviews,2021,Google Play,701 apps,701,domain diversity,"total 214,053 reviews

evaluation: 5,326 mobile app reviews.","214,053","5326, simple random sampling"
Generating Functional Requirements Based on Classification of Mobile Application User Reviews,2021,"Apple App Store,
Google Play",,,free & paid,"the resulting dataset that contained 3,989 user reviews with 895 user reviews labeled as Functional","3,989",
How Should I Improve the UI of My App?: A Study of User Reviews of Popular Apps in the Google Play,2021,Google Play,"22,199 top free-to-download apps and 9,380 top non-free apps","31,579",free & paid,"3M UI-related reviews

manually analyzing a random sample of 1,447 UI-related reviews","3,000,000","1447, simple random sampling"
Identifying Key Features from App User Reviews,2021,Apple App Store,"200 apps

randomly selected ten categories, 
then for each category, we randomly selected ten free apps and ten paid apps from their respective top-20 ranked lists",200,"popularity

domain diversity

free & paid","1,108,148 reviews","1,108,148",
Investigating the criticality of user-reported issues through their relations with app rating,2021,Google Play,317 Android apps,317,,"210,517 reviews related to 317 Android apps,","210,517",
Multi-source Heterogeneous User Generated Contents-driven Interactive Estimation of Distribution Algorithms for Personalized Search,2021,Amazon Store,"61,275 apps","61,275",,"2,638,173 reviews","2,638,173",
RE-BERT: automatic extraction of software requirements from app reviews using BERT language model,2021,"Google Play Store, 
Amazon Store",8 apps of different categories and time periods,8,domain diversity,"341,843 reviews were initially collected,

random sample 1,000 reviews to label","341,843","1000, simple random sampling"
The Rise and Fall of COVID-19 Contact-Tracing Apps: when NFRs Collide with Pandemic,2021,"Apple App Store,
Google Play",4 contact-tracing apps of 4 different countries,4,country diversity,"590,912 reviews of contact-tracing apps","590,912",
The Role of User Reviews in App Updates: A Preliminary Investigation on App Release Notes,2021,Apple App Store,Spotify  (Spotify is the top freedownload app in 'Music' category in the region of US.),1,,"450,381 user reviews;

 (2800 reviews: ) we calculated the similarity between each user review and each of the 35 pre-processed release notes, and then we selected top 80 matched reviews of each release note for manual validation of relevance.","450,381","2,800"
Too Many User-Reviews! What Should App Developers Look at First?,2021,Google Play,"623 Android apps in ten different categories

randomly selected ten categories to avoid introducing a bias towards a specific set of categories, e.g., popular categories.",623,domain diversity,"4,193,549 user reviews","4,193,549","384, simple random sampling"
Towards De-Anonymization of Google Play Search Rank Fraud,2021,Google Play,"13,087 apps","13,087",,"820,760 reviews","820,760",
User Review-Based Change File Localization for Mobile Applications,2021,Google Play,10 open-source apps,10,"open-source apps (According to Research Purpose)

domain diversity","total 58,775 reviews","58,775",
What People Focus on When Reviewing Your App-An Analysis Across App Categories,2021,Google Play,"598,253 apps from 34 Play Store app categories","598,253",domain diversity,"25,731,471 English review
sentences","25,731,471",
Where2Change: Change Request Localization for App Reviews,2021,Google Play,10 open-source apps,10,open-source apps (According to Research Purpose),"31,597 reviews,
3,272 issue reports","31,597",
AccessiText: automated detection of text accessibility issues in Android apps,2022,"Apple App Store,
Google Play","Our Android reviews dataset includes reviews from 867 top apps. The App Store dataset includes reviews from 1,350 top apps.","2,217",,manual analysis: 412 app reviews,412,
An empirical study on release notes patterns of popular apps in the Google Play Store,2022,Google Play,"2,232 top free-to-download apps: We select the top 100 apps in each of the available 28 app categories.","2,232","popularity

domain diversity",67.7 million user reviews,"67,700,000",
Analyzing User Perspectives on Mobile App Privacy at Scale,2022,Google Play,2M apps across the 29 categories,"2,000,000",domain diversity,"we collected approximately 580M Play reviews in English.

We next selected ∼11K app reviews for manual labeling.","580,000,000",∼11K
Better Identifying and Addressing Diverse Issues in mHealth and Emerging Apps Using User Reviews,2022,"Apple App Store,
Google Play",,,,"over 5 million mHealth app user reviews in total;

The aspects are classified based on a bag of keywords selected based on our research of manually analysing over 23,000 user reviews [ 17 ].","5,000,000","23,000"
Demystifying “removed reviews” in iOS app store,2022,Apple App Store,"we implement a crawler to retrieve the app ranking list  (top-1500 apps at most) for each app category separately from the iOS App Store, covering a total of 25 categories. Overall, we have collected a total of 33,665 unique apps.","33,665","popularity

domain diversity","Overall, we have collected nearly 40 million  (39,975,259) user reviews, of which more than 30 million  (30,931,470) reviews have been removed, accounting for as high as 77.4%.

We first randomly select 3,000 removed reviews from our dataset for manual inspection.  (分析移除的原因)

we yield a training set with 36,253,496 reviews  (96%) and a testing set with 1,549,474 reviews  (4%).  (for 二分类：是否是被移除的review)","39,975,259","3000, simple random sampling"
Domain-Specific Analysis of Mobile App Reviews Using Keyword-Assisted Topic Models,2022,"Apple App Store,
Google Play","After examining the top 100 apps, eight Investing and five Food Delivery apps were included.",13,domain diversity,"only 1-2 star rating reviews which included user stories  (See Section 3.1) were considered in our analysis, a total of 20,760 reviews for the domain of Investing apps and 130,676 reviews for the Food Delivery apps.","151,436",
Emerging App Issue Identification via Online Joint Sentiment-Topic Tracing,2022,"Apple App Store,
Google Play","six popular apps which have detailed app changelogs for most versions,

from 89 versions",6,"popularity

have detailed app changelogs for most versions (According to Research Purpose)","164,026 reviews","164,026","we randomly select 500/15,704 words based on their frequencies for manual labeling."
Erasing Labor with Labor: Dark Patterns and Lockstep Behaviors on Google Play,2022,Google Play,"60 install-incentivizing apps.  (We created queries by prefixing ""install apps"" to phrases like ""earn money"", ""win prizes"", ""win rewards"", etc., and searched them on Google Play to curate a list of potentially install-incentivizing apps.)",60,install-incentivizing apps,"319,198 reviews in total;

we sampled these reviews for all 60 apps over a one-month period, obtaining 1,825 unique reviews. Then, we adopted an inductive open coding approach to thematically code [10 ] these reviews.","319,198","1,825"
Hark: A Deep Learning System for Navigating Privacy Feedback at Scale,2022,Google Play,1.3M apps published across all of the Play store app categories.,"1,300,000",domain diversity,"626M Google Play reviews.

our privacy feedback classifier extracts 6M privacy-related reviews.


人工标注：From the reviews annotated by the heuristics, we randomly sampled 3,254 reviews, ensuring nearly equal representation across:  (1) maybe-privacy vs. maybe-not-privacy labels,  (2) four di↵erent review world length buckets, and  (3) app categories. We get these sampled reviews manually annotated to create a high quality privacy training dataset.","6,000,000","3254, simple random sampling"
Hierarchical Bayesian multi-kernel learning for integrated classification and summarization of app reviews,2022,"Apple App Store,
Google Play","(1057 apps: ) To address our questions, we will report results on two real-world datasets that were provided by previous research. The irst is the Maalej dataset [24, 25], where reviews were randomly selected from both Apple and Google Play stores. 1100 apps from Apple store, 40 apps from Google Play. .... The second is the Panichella dataset [34, 40], ..., 17 apps coming from Google Play.","1,057",,"Maalej dataset: 3,684 reviews

Panichella dataset: 2,904 reviews","6,588",
Lighting up supervised learning in user review-based code localization: dataset and benchmark,2022,Google Play,"5 Apps from 5 different categories are selected, namely, K-9 Mail, AntennaPod, Cgeo, Anki, and Termux.",5,domain diversity,"59,642 reviews in total;

annotating about 12,000 user reviews","59,642","12,000"
Listening to Users' Voice: Automatic Summarization of Helpful App Reviews,2022,Google Play,364 apps  (top 200 during August 2019),364,popularity,"1,239,754 reviews

we remove the repetitive reviews. Consequently, the number of unique review instances is 571,823.","1,239,754","571,823"
Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,2022,a proposal without a dataset,,,,,,
On the Importance of Performing App Analysis Within Peer Groups,2022,Google Play,100 apps that fall into 10 peer groups.,100,,"6,773,653 reviews

our random sample contains 204,835 reviews across 100 studied apps.","6,773,653","204,835"
On the Violation of Honesty in Mobile Apps: Automated Detection and Categories,2022,Google Play,713 apps in 25 categories.,713,domain diversity,"we collected a total of 236,660 reviews - 214,053 reviews from the public dataset of Eler et al. [""Do Android App Users Care about Accessibility""], and an additional 22,607 reviews from the public dataset of Obie et al. [""A First Look at Human Values-Violation in App Reviews""].","236,660",
"Prioritizing user concerns in app reviews—A study of requests for new features, enhancements and bug fixes",2022,Google Play,"four apps belonging to the gaming  (App 1), entertainment  (App 2), e-commerce  (App 3) and tools  (App 4) categories",4,domain diversity,"four popular apps comprising more than 1000 informative reviews in each app.

19,869 reviews in total","19,869",
Proactive Prioritization of App Issues via Contrastive Learning,2022,Google Play,9869 apps across 48 categories,"9,869",domain diversity,"over 2.1 million negative user reviews  (i.e., reviews with ratings 1 and 2 only)","2,100,000",
Supporting Developers in Addressing Human-centric Issues in Mobile Apps,2022,Google Play,"1.  (12 Android apps: ) we applied a set of criteria on Mazuera-Rozo et al.'s dataset to sample a representative set of apps.

1.1. We leveraged a dataset of open-source mobile apps created by Mazuera-Rozo et al. [16] for this purpose. MazueraRozo et al. built a dataset of 100 Android and 100 iOS mobile apps hosted on GitHub.",12,open-source apps,"we randomly selected 100 app reviews from each Android app to generate 1,200 app reviews.","1,200",
The Use of Pretrained Model for Matching App Reviews and Bug Reports,2022,Google Play,"Firefox Browserk, VLC Media Player, Signal Messenger, Nextcloud, Syncthing",5,,23543 reviews,"23,543",
Towards Automatically Localizing Function Errors in Mobile Apps with User Reviews,2022,Google Play,18 apps,18,,"we download the latest 1,500 reviews to analyze  (i.e., the dataset contains 27,000 user reviews in total).","27,000","1500, simple random sampling"
Unsupervised Summarization of Privacy Concerns in Mobile Application Reviews,2022,"Apple App Store,
Google Play","After examining the top-100 apps in each category, eight investing, five mental health, and five food delivery apps were included.",18,domain diversity,"Overall, 696,073, 1,708,831, and 204,374 reviews were collected for our set of investing, food delivery, and mental health apps respectively.

Our analysis is conducted over low-rating  (one and two stars) reviews in our dataset. These reviews are more likely to contain user complaints or useful feedback than high-rating reviews [ 29, 36 , 47]. In total, 385,951, 511,032, and 43,647 reviews from the domains of investing, food delivery, and mental health are included in our analysis.","2,609,278","940,630"
User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews,2022,"Apple App Store,
Google Play","40 depression apps: 20 most/ lowest rated apps,",40,depression apps,"2,217 user reviews sampled from 40 depression apps: Then, user reviews were purposively sampled in December 2018. For each app the 50 'most helpful reviews'  (determined by the appstore flter for sorting reviews) were extracted from each platform,with a total of 100 reviews being sampled for apps listed in bothstores. Additionally, the 50 'most critical reviews'  (also an app storeflter) were extracted from apps listed in Apple App Store; this categorization was not available in Google Play. For apps withfewer reviews, all reviews were sampled. User reviews were ex-cluded from selection if they lacked content, for example consistedof only 'emoji' symbols, or did not discuss user experiences, for example stated only what the app did  (""This is a diary"").","2,217",
Where is Your App Frustrating Users?,2022,Google Play,six popular apps from three categories,6,"popularity

domain diversity","3,426 reviews: For each app, we then randomly sample around 550 reviews  (about 1500 sentences) and label them for further experiments.","3,426","550, simple random sampling"
